FNNidx:8539 FNNdist:1.43589e+06 BRTidx:8539 BRTdist1.43589e+06
FNNidx:8100 FNNdist:1.29019e+06 BRTidx:8100 BRTdist1.29019e+06
FNNidx:5680 FNNdist:1.92709e+06 BRTidx:5680 BRTdist1.92709e+06
FNNidx:4310 FNNdist:1.66788e+06 BRTidx:4310 BRTdist1.66788e+06
FNNidx:7041 FNNdist:1.71017e+06 BRTidx:7041 BRTdist1.71017e+06
FNNidx:6717 FNNdist:1.46099e+06 BRTidx:6717 BRTdist1.46099e+06
FNNidx:9664 FNNdist:1.00478e+06 BRTidx:9664 BRTdist1.00478e+06
FNNidx:7709 FNNdist:1.90617e+06 BRTidx:7709 BRTdist1.90617e+06
FNNidx:3841 FNNdist:1.75892e+06 BRTidx:3841 BRTdist1.75892e+06
FNNidx:2341 FNNdist:1.44603e+06 BRTidx:2341 BRTdist1.44603e+06
FNNidx:1118 FNNdist:1.17163e+06 BRTidx:1118 BRTdist1.17163e+06
FNNidx:7440 FNNdist:1.76043e+06 BRTidx:7440 BRTdist1.76042e+06
FNNidx:6580 FNNdist:2.75115e+06 BRTidx:6580 BRTdist2.75115e+06
FNNidx:6370 FNNdist:1.53457e+06 BRTidx:6370 BRTdist1.53457e+06
FNNidx:2172 FNNdist:1.6058e+06 BRTidx:2172 BRTdist1.6058e+06
FNNidx:6908 FNNdist:1.29208e+06 BRTidx:6908 BRTdist1.29208e+06
FNNidx:8437 FNNdist:1.2056e+06 BRTidx:8437 BRTdist1.2056e+06
FNNidx:979 FNNdist:931464 BRTidx:979 BRTdist931464
FNNidx:6337 FNNdist:1.78296e+06 BRTidx:6337 BRTdist1.78296e+06
FNNidx:8763 FNNdist:1.41928e+06 BRTidx:8763 BRTdist1.41928e+06
FNNidx:8246 FNNdist:504056 BRTidx:8246 BRTdist504056
FNNidx:8474 FNNdist:1.60057e+06 BRTidx:8474 BRTdist1.60057e+06
FNNidx:6173 FNNdist:1.2492e+06 BRTidx:6173 BRTdist1.2492e+06
FNNidx:8474 FNNdist:418460 BRTidx:8474 BRTdist418460
FNNidx:8296 FNNdist:3.50725e+06 BRTidx:8296 BRTdist3.50725e+06
FNNidx:6410 FNNdist:2.25807e+06 BRTidx:6410 BRTdist2.25807e+06
